profit_06Y,code,profit_14Y,profit_12Y,profit_10Y,asset_13Y,asset_08Y,profit_09Y,asset_07Y,asset_15Y,asset_11Y,profit_11Y,profit_15Y,profit_13Y,asset_09Y,profit_07Y,asset_12Y,profit_08Y,asset_14Y,asset_06Y,Year_Month,asset_10Y
"16,427",000030,"12,080","14,486","11,086","2,499,848","2,324,910","9,546","1,988,247","2,918,591","2,424,722","20,694","10,754","4,663","2,267,886","17,781","2,472,484","2,347","2,701,572","1,664,053",2006.12,"2,282,065"
"1,159",000080,213,"1,035",610,"35,531","13,192","1,233","13,102","34,605","35,733",702,534,791,"14,518","1,507","35,187","1,548","34,224","14,691",2006.12,"14,183"
670,000100,909,808,"1,280","15,140","10,389","1,217","9,972","18,803","13,141",942,"1,260",865,"11,348",921,"14,031","1,256","16,160","9,414",2006.12,"12,555"
"1,667",000240,"1,838","32,772","4,775","23,532","53,748","3,757","41,293","26,669","74,364","3,552","1,727","1,602","50,029","1,597","9,743",235,"25,064","32,926",2006.12,"57,582"
25,000250,173,13,48,"1,554",857,53,842,"1,843",985,57,179,76,920,60,"1,221",61,"1,725",801,2006.12,937
166,000320,371,189,112,"8,524","6,201",86,"5,338","9,865","7,871",169,882,360,"6,070",112,"8,359",25,"8,999","5,071",2006.12,"6,174"
71,000390,355,160,79,"4,756","2,666",161,"2,440","5,119","4,022",130,248,292,"3,592",47,"4,247",106,"5,051","2,267",2006.12,"3,871"
99,000430,184,488,397,"11,682","6,766",69,"4,058","11,575","9,556",424,263,378,"7,209",110,"9,887",96,"11,484","4,165",2006.12,"7,569"
230,000480,487,345,401,"11,332","8,708",312,"9,082","9,037","11,537",379,171,438,"10,330",230,"11,673",87,"11,109","7,197",2006.12,"9,960"
65,000590,144,65,57,"2,339",962,74,820,"2,849","1,888",118,296,130,"1,449",41,"1,913",120,"2,604",793,2006.12,"1,838"
23,000650,48,18,23,603,408,29,382,631,547,27,46,59,437,29,572,28,623,361,2006.12,455
"1,041",000670,"1,006","2,774","2,203","39,394","18,554","1,603","18,370","39,879","26,223","2,320",899,"2,344","20,487","1,516","28,965","1,436","38,954","18,310",2006.12,"24,347"
"3,987",000720,"5,867","5,670","5,426","147,332","86,252","4,768","69,414","194,585","118,719","6,851","5,840","5,696","86,804","2,983","127,468","3,674","184,397","59,065",2006.12,"97,724"
142,000850,213,154,236,"3,161","2,738",104,"2,240","3,407","3,127",270,160,150,"2,563",178,"3,069",229,"3,304","2,172",2006.12,"3,497"
143,000860,417,306,248,"4,731","3,347",273,"3,283","5,421","3,951",249,435,424,"3,617",145,"4,286",83,"5,065","3,118",2006.12,"3,943"
"1,150",001040,"5,086","5,703","7,696","221,237","97,549","5,293","87,630","235,621","196,561","7,361","5,511","3,226","106,890","1,071","213,850","3,465","230,393","72,003",2006.12,"128,709"
15,001420,8,14,10,424,359,3,390,437,477,23,7,20,376,12,451,-0,424,381,2006.12,424
117,001460,191,247,220,"5,252","3,577",193,"3,418","6,915","4,779",270,132,155,"3,626",92,"5,055",50,"6,084","3,112",2006.12,"4,104"
43,001560,65,72,84,901,562,69,622,974,925,74,26,67,790,83,979,22,966,567,2006.12,830
219,001630,133,374,479,"2,775","4,506",288,"4,120","5,010","6,755",565,306,"4,236","4,602",176,"7,080",218,"3,027","3,966",2006.12,"5,538"
553,001720,499,588,900,"47,906","31,637",522,"29,805","67,142","41,378",592,765,529,"37,386",488,"47,594",825,"48,435","19,181",2006.03,"38,286"
12,001840,15,10,9,587,458,8,342,620,468,9,15,8,463,4,618,8,710,329,2006.12,513
78,002030,623,709,72,"16,407","11,857",388,"11,604","15,926","15,836",203,82,552,"11,724",483,"15,818",129,"16,341","10,382",2006.12,"12,049"
123,002100,71,103,93,"2,560","2,009",168,"1,776","3,163","1,738",5,70,140,"1,976",150,"2,694",116,"2,846","2,270",2006.12,"2,004"
42,002230,44,78,66,"1,339",609,39,610,"1,375",908,72,93,246,659,51,"1,004",28,"1,172",536,2006.12,846
201,002240,"2,984",438,989,"18,240","14,068",910,"9,947","24,273","18,233","1,073",174,367,"14,167",418,"18,140","1,286","25,244","9,412",2006.12,"15,488"
185,002270,599,614,495,"11,286","5,887",456,"5,202","12,876","8,569",481,503,"1,139","6,872",219,"8,979",268,"11,932","4,699",2006.12,"8,108"
41,002290,16,30,21,531,453,39,411,625,517,20,32,14,486,17,550,16,617,456,2006.12,485
"2,500",002380,"3,267","4,463","3,740","70,517","62,723","4,055","76,888","86,684","73,423","3,270","1,851","2,490","81,509","2,466","68,240","2,230","86,545","43,940",2006.12,"96,433"
32,002450,106,76,36,"3,448","2,635",75,"2,110","4,056","3,518",18,42,461,"2,720",47,"3,230",16,"3,788","1,999",2006.12,"3,030"
108,002620,21,112,255,"3,961","2,673",280,"2,545","4,452","3,841",270,98,5,"2,900",137,"3,908",175,"4,096","2,345",2006.12,"3,449"
"1,269",002790,"4,974","3,457","2,881","49,219","27,389","2,381","25,720","61,480","42,549","3,761","6,739","3,550","29,836","1,756","45,160","1,864","54,997","24,294",2006.12,"33,103"
85,002810,215,220,197,"2,744","1,773",133,"1,707","3,029","2,403",155,190,201,"1,937",105,"2,502",77,"2,963","1,563",2006.12,"2,188"
144,002920,203,268,157,"3,537","2,234",14,"2,222","3,738","3,307",190,166,237,"2,330",132,"3,290",70,"3,777","2,062",2006.12,"2,801"
85,002960,269,312,271,"1,228",741,313,718,"1,265","1,191",261,312,296,977,151,"1,167",121,"1,151",565,2006.12,"1,150"
264,003030,765,996,920,"19,956","14,849",123,"9,582","20,739","19,326",988,458,"1,166","10,906",208,"20,304","1,231","22,850","9,218",2006.12,"12,899"
42,003080,46,30,1,"1,020",976,36,956,"1,076","1,006",18,33,35,999,34,"1,016",43,"1,064",916,2006.12,947
385,003120,40,365,63,"3,727","2,879",80,"4,941","3,670","4,132",351,989,80,"3,673",177,"3,836",342,"3,784","2,734",2006.12,"4,694"
93,003200,247,123,613,"7,762","5,275",344,"4,955","8,895","7,535",278,202,328,"5,667",74,"7,373",248,"8,183","4,869",2006.12,"6,459"
56,003220,156,98,118,"1,601",831,98,748,"1,947","1,404",93,173,122,"1,096",78,"1,471",77,"1,806",645,2006.12,"1,289"
"9,335",003550,"8,343","9,543","16,016","165,502","647,821","52,257","540,802","181,234","151,607","10,298","9,438","8,309","688,389","36,321","160,477","29,668","173,327","501,192",2006.12,"137,789"
333,003570,26,437,541,"9,357","7,973",418,"9,437","9,217","11,823",566,326,226,"9,108",581,"11,566",321,"9,144","8,464",2006.12,"8,994"
59,003650,160,247,217,"2,069","1,278",253,922,"2,517","1,941",209,251,174,"1,653",107,"2,031",215,"2,157",757,2006.12,"1,823"
143,003670,733,754,561,"6,304","2,334",331,"1,743","7,175","4,925",914,322,580,"2,575",169,"5,404",252,"7,216","1,555",2006.12,"3,559"
7,003780,30,30,39,388,201,31,"1,006",431,312,42,53,29,217,45,318,32,394,"1,012",2006.12,234
133,003800,238,330,305,"3,329","1,908",230,"1,703","3,823","2,882",381,305,289,"2,155",154,"3,117",174,"3,517","1,583",2006.12,"2,455"
22,003850,216,94,136,"2,676","1,662",52,"1,621","3,309","2,624",62,203,141,"1,768",84,"2,730",52,"2,824","1,586",2006.12,"2,131"
322,004000,587,733,852,"19,001","9,440",867,"8,475","16,842","14,005",734,900,33,"10,251",401,"16,079",853,"18,460","8,252",2006.12,"12,712"
"4,929",004020,"7,823","7,964","10,322","295,203","122,047","11,699","92,843","319,364","217,767","7,471","7,392","7,094","160,523","5,320","229,514","7,893","289,338","74,236",2006.12,"187,408"
61,004080,67,10,47,"1,293","1,452",16,"1,366","1,370","1,420",29,29,13,"1,407",42,"1,410",17,"1,234","1,353",2006.12,"1,300"
15,004090,67,38,42,"2,300",963,43,795,"2,402","2,363",33,145,77,954,28,"2,159",28,"2,310",857,2006.12,"1,105"
19,004100,67,16,44,"3,645","2,479",25,"1,803","3,701","3,384",8,40,15,"2,547",33,"4,046",21,"3,644","1,625",2006.12,"2,707"
"4,955",004170,"1,861","1,937","11,059","75,000","107,958","5,826","89,335","79,182","41,447","35,221","4,332","1,947","111,536","5,208","69,685","5,629","79,314","80,748",2006.12,"144,521"
